"pathway","SYM"
"ER Sensor/Initiator","MAP3K5"
"ER Sensor/Initiator","ATF6"
"ER Sensor/Initiator","ERN1"
"ER Sensor/Initiator","MAPK8"
"ER Sensor/Initiator","TRAF2"
"ER Sensor/Initiator","XBP1"
"ER Target-Gene","SEL1L"
"ER Target-Gene","ADARB1"
"ER Target-Gene","DERL1"
"ER Target-Gene","DERL2"
"ER Target-Gene","DERL3"
"ER Target-Gene","DNAJC3"
"ER Target-Gene","DNAJB9"
"ER Target-Gene","DNAJB11"
"ER Target-Gene","HSPA5"
"ER Target-Gene","HSP90B1"
"ER Target-Gene","HYOU1"
"ER Target-Gene","PDIA3"
"ER Target-Gene","PDIA4"
"ER Target-Gene","CANX"
"ER Target-Gene","CALR"
"ER Target-Gene","ERO1A"
"ER Target-Gene","EDEM1"
"ER Target-Gene","EDEM2"
"ER Target-Gene","EDEM3"
"MT Sensor/Initiator","SIRT3"
"MT Sensor/Initiator","ERAL1"
"MT Target-Gene","FOXO3"
"MT Target-Gene","PPARGC1A"
"MT Target-Gene","MAP1LC3B"
"MT Target-Gene","DNAJA3"
"MT Target-Gene","HSPE1"
"MT Target-Gene","HSPD1"
"MT Target-Gene","LONP1"
"MT Target-Gene","CLPP"
"MT Target-Gene","SOD1"
"MT Target-Gene","SOD2"
"MT Target-Gene","SCAF1"
